# 单元1（保持原顺序，仅修正错误词条）
18,snowy,[ˈsnəʊ],adj. 下雪的；雪白的,Unit6,
19,beach,,"沙滩排球,Unit6
20,volleyball,,,Unit6
21,high,[haɪ]""",adv. adj. 高,Unit6
22,freezing,[ˈfriːzŋ],adj. 极冷的；冰冷的,Unit6,
23,tourist,[ˈtɒərst],n. 旅行者；观光客,Unit6,
24,mount,[ˈmaʊnt],n. (在现代英语里仅用于地,Unit6,
1,upon,[əˈpɒn],prep. 在……上,Unit8,
2,once upon a time,,从前；很久以前,Unit8,
3,bite,[bɑːt],v. 咬；咬伤,Unit8,
4,bite through,,咬穿,Unit8,
5,net,[net],n. 网；网状物,Unit8,
6,hunter,[ˈhʌntə],n. 猎人；搜寻者,Unit8,
7,promise,[ˈprɒmɪs],v. 承诺；保证；n. 承诺；诺言,Unit8,
8,long ago,,很晚以前,Unit8,
9,war,[wɔː],n. 战争,Unit8,
10,neighbour,[neibə],n. 邻居,Unit8,
11,wise,[waɪz],adj. 明智的；高明的,Unit8,
12,emperor,[ˈempərə],n. 皇帝,Unit8,
13,lie,[la],v. 撒谎，n. 谎言,Unit8,
14,pretend,[prɪtend],v. 假装；伪装,Unit8,
15,official,[əˈfɪʃəl],n. 官员；高级职员,Unit8,
16,silly,[ˈsli],adj. 愚蠢的；傻的,Unit8,
17,decide,[dɪsaɪd],v. 决定,Unit8,
18,praise,[preɪz],n. 赞美；表扬,Unit8,
19,afraid,[əˈfrɛɪd],adj. 害怕的；担心的,Unit8,
20,suddenly,[ˈsʌdnl],adv. 突然地；出乎意料地,Unit8,
21,at first,,起初；最初,Unit8,
22,truth,[tru: 0 ],n. 真相；事实,Unit8,
23,tell the truth,,说实话,Unit8,
24,make money,,赚钱,Unit8,
25,TRUE,[tru:],adj. 符合事实的；真正的,Unit8,
26,hate,[heɪ],v. 不喜欢；厌恶；讨厌,Unit8,
27,get out,,逃脱；离开,Unit8,
28,king,[kʊ],n. 君主；国王,Unit8,
29,artist,[ˈɑːtkl],n. 美术家；艺术家,Unit8,
30,quickly,[ˈkwkl],adv. 快速地；很快,Unit8,
31,smile,[smai],v. 微笑，微笑；笑容,Unit8,
32,all over,,到处；遍及,Unit8,
33,ugly,[ˈʌɡl],adj. 丑陋的；难看的,Unit8,
34,duckling,[ˈdʌklŋ],n. 小鸭子,Unit8,
35,real,[ri:l][rəl],adj. 真的；真正的,Unit8,
36,laugh at,,嘲笑,Unit8,
37,go away,,走开,Unit8,
38,search for v.,,寻找；搜寻,Unit8,
39,hen,[hen],n. 母鸡,Unit8,
40,hopefully,[ˈhəʊpfəl],adv. 有希望地,Unit8,
41,purr,[pʌː],v.（在愉快时）发出呜呜声,Unit8,
42,lay,[le],v.（laid)下（蛋）；放置；搁,Unit8,
43,swan,[swɪn],n.天鹅,Unit8,
44,feather,[ˈfeðə],n.羽毛,Unit8,
45,to sb's surprise,,出乎某人的意料,Unit8,
46,size,[saɪz],n.大小；尺寸,Unit8,
47,come out,,出现；盛开,Unit8,
48,genie,[ˈdʒi:n],n.妖怪；鬼,Unit8,
49,die,[da],n.死亡；消失,Unit8,
50,make a promise,,许下诺言,Unit8,
51,someone,[ˈsʌmˌwʌn],pron.某人；有人,Unit8,
52,set,[set],v.使处于某种状态；使开始释放,Unit8,
53,set…free,,adj.富有的；含有……的,Unit8,
54,rich,[rtʃ],adj.强大的；有影响力的,Unit8,
55,powerful,[ˈpaʊəfəl],pron.任何人；某个人,Unit8,
56,anyone,[ˈen iːwʌn][ˈen nvən],,Unit8,
57,instead of,,而不是；代替,Unit8,
58,succeed in doing sth.,,成功做成某事,Unit8,
59,himself,[h mˈself],pron.他自己;他本人,Unit8,
60,in the end,,最后；终究,Unit8,
